,a.data.Name,coords.x1,coords.x2
608,Janoah,35.361606,32.155895
609,Janoah,35.302915,33.260246
610,Japhia,35.274955,32.691633
611,Jarmuth,34.969953,31.709268
612,Jarmuth~,35.330789,32.555963
613,Jattir,35.069413,31.401438
614,Javan>,27.367825,37.953314
615,Jazer,35.727769,31.943529
616,Jebus,35.234935,31.777444
617,Jebusite,35.234935,31.777444
618,Jegar-sahadutha,36.005559,32.565267
619,Jehud,34.889599,32.033636
620,Jekabzeel~,34.96745,31.1858
621,Jericho,35.443863,31.870601
622,Jeruel~,35.406346,31.572903
623,Jerusalem,35.234935,31.777444
624,Jerusalem's,35.234935,31.777444
625,Jeshanah,35.229709,31.980029
626,Jeshimon~,35.392411,31.461525
627,Jeshua~,35.057114,31.162327
628,Jetur>,35.857256,33.416159
629,Jezreel,35.330789,32.555963
630,Jezreel~,35.094099,31.535773
631,Jezreel~,35.330789,32.555963
632,Jogbehah,35.862887,32.028743
633,Jokdeam~,35,31.366667
634,Jokmeam,35.3,31.833333
635,Jokmeam,35.108918,32.664545
636,Jokneam,35.108918,32.664545
637,Joktheel,35.456279,30.322435
638,Joktheel~,34.846725,31.56485
639,Joppa,34.750426,32.053519
640,Jordan,35.5599,32.309099
641,Jordan Valley,35.5599,32.309099
642,Jotbah~,35.030601,29.758043
643,Jotbathah~,35.030601,29.758043
644,Judea>,35.234935,31.777444
646,Juttah,35.083333,31.45
647,Kabzeel~,34.96745,31.1858
648,Kadesh,34.494795,30.687712
649,Kadesh,36.522943,34.558327
650,Kadesh-barnea,34.494795,30.687712
651,Kain,35.166667,31.5
652,Kamon<,35.724241,32.042523
653,Kanah,35.038971,32.138219
654,Kanah,35.338771,32.747015
655,Karka~,34.3805,30.958506
656,Karkor~,35.70287,32.184372
657,Karnaim,36.016666,32.766666
658,Kartah,35.279335,32.753141
659,Kartan~,35.165,33.125828
660,Kattath,35.279335,32.753141
661,Kedar~,37.7,27.4
662,Kedemoth,35.894537,31.646073
663,Kedesh,34.494795,30.687712
664,Kedesh,35.246206,32.559061
665,Kedesh,35.533613,33.112983
666,Kedesh-naphtali,35.533613,33.112983
667,Kehelathah~,35.407152,30.317396
668,Keilah,35.002752,31.614175
669,Kenath,36.6164,32.756919
670,Kerioth,35.7,31.583333
671,Kerioth-hezron~,35.057114,31.162327
672,Kibroth-hattaavah~,34.5,28.916667
673,Kibzaim,35.3,31.833333
674,Kidron,35.236596,31.772134
675,Kidron Valley,35.236596,31.772134
676,Kinah~,34.96745,31.1858
677,King's Highway~,35.702147,31.181325
678,King's Pool<,35.234935,31.777444
679,King's Valley~,35.234935,31.777444
680,Kir,35.702147,31.181325
681,Kir-hareseth,35.702147,31.181325
682,Kiriath-arba,35.094099,31.535773
683,Kiriath-arim?,34.993812,31.771104
684,Kiriath-baal?,34.993812,31.771104
685,Kiriath-huzoth~,35.718565,31.765031
686,Kiriath-jearim?,34.993812,31.771104
687,Kiriath-sannah,34.96667,31.416669
688,Kiriath-sepher,34.96667,31.416669
689,Kiriathaim,35.7,31.583333
690,Kiriathaim~,35.165,33.125828
691,Kishion,35.246206,32.559061
692,Kishon,35.064096,32.761948
693,Kitron,35.279335,32.753141
694,Kittim,33.207693,35.018306
695,Koa>,48.514966,34.798311
696,Kue>,34.891533,36.918026
697,Laban~,34.9365,31.8099
698,Lachish,34.846725,31.56485
699,Lahmam,34.9,31.566667
700,Laish,35.652483,33.248659
701,Laishah,35.25,31.8
702,Lakkum~,35.390913,32.686956
705,Lasha,35.584826,31.718148
706,Lasharon,35.467002,32.72544
707,Leb-kamai>,46.103741,30.962052
708,Lebanon>,35.590804,33.752479
709,Lebaoth~,34.940502,31.391668
710,Lebo-hamath,36.749488,35.136204
711,Lebonah,35.239871,32.07077
712,Lehem,35.210266,31.705361
713,Lehi~,34.976609,31.752748
714,Leshem,35.652483,33.248659
715,Libnah~,34.846725,31.56485
716,Libnah~,34.9365,31.8099
717,Libya>,21.858301,32.824979
718,Lo-debar,35.783568,32.662488
719,Lod,34.895277,31.951388
720,Lower Beth-horon,35.123567,31.878925
721,Lower and Upper Beth-horon,35.123567,31.878925
722,Lud,34.895277,31.951388
723,Luhith~,35.515,31.288056
724,Luz,35.221032,31.930539
725,Luz?,36.57,37
730,Maacah~,36.5,33.2
731,Maacath~,36.5,33.2
732,Maarath,35.102328,31.621003
733,Maareh-geba~,35.231009,31.823781
735,Machpelah,35.110734,31.524647
736,Madmannah,34.940502,31.391668
737,Madmenah~,35.25,31.8
738,Madon,35.459506,32.799879
740,Magog~,47,46
741,Mahalab,35.445446,33.02498
742,Mahanaim?,35.632914,32.214708
743,Mahaneh-dan,34.994252,31.758315
744,Makaz~,34.981728,31.870364
745,Makheloth~,35.407152,30.317396
746,Makkedah,34.781326,31.935117
748,Mamre,35.09356,31.549098
749,Manahath,35.181972,31.752603
